,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
43,TTR25255581364077000,676.5894822,-4.63825,,0,CLOSURE,1,FRC5,0.5,0,0,-1
44,TTR28804640220014001,310.8089525,-1.59007,,0,CLOSURE,1,FRC6,0.4,0,0,-1
45,TTL28755591804042004_3,293.9323443,-1.44944,,0,JAM_CONDITIONAL,0.9,FRC2,0.8,288,1,-1
46,TTR28859460120013000,330.1006015,-1.75084,,0,CLOSURE,1,FRC5,0.5,0,0,-1
47,TTR23965800248044000,1027.345219,-7.56121,,0,CLOSURE,1,FRC4,0.6,0,0,-1
48,TTR23472406384098000,1135.159729,-8.45966,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
49,TTR28833494148006001,318.5542089,-1.65462,,0,CLOSURE,1,FRC6,0.4,0,0,-1
50,TTR25044934580132001,768.1667108,-5.40139,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
51,TTR28397812464019000,211.3941879,-0.76162,,0,ROADWORKS,0.6,FRC3,0.7,0,0,-1
52,TTR24092732124044001,1078.199296,-7.98499,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
53,TTL23584969196016001_2,1086.799832,-8.05667,,0,JAM_CONDITIONAL,0.9,FRC0,1,391,1,-1
54,TTR22883779212018000,1298.106788,-9.81756,,0,ROADWORKS,0.6,FRC2,0.8,5,0.1,-1
55,TTR23273348580020000,1165.692858,-8.71411,,0,ROADWORKS,0.6,FRC4,0.6,7,0.2,-1
56,TTR24349544376086000,971.4753146,-7.09563,,0,CLOSURE,1,FRC6,0.4,0,0,-1
57,TTR28842148168023003,324.5211662,-1.70434,,0,CLOSURE,1,FRC7,0.3,0,0,-1
58,TTR21735379760410000,1613.762528,-12.44802,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
61,TTL24136015608044000,1058.123243,-7.81769,,0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,224,1,-1
62,TTR28842148168023002,324.4724048,-1.70394,,0,CLOSURE,1,FRC7,0.3,0,0,-1
63,TTR22410585588004000,1400.508437,-10.6709,,0,CLOSURE,1,FRC4,0.6,0,0,-1
64,TTR27191720592002001,187.8860916,-0.56572,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
65,TTR25855764512018000,488.3025534,-3.06919,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
67,TTR25246924648038003,680.1284147,-4.66774,,0,CLOSURE,1,FRC6,0.4,0,0,-1
68,TTR23299277440146000,1187.865591,-8.89888,,0,ROADWORKS,0.6,FRC2,0.8,0,0,-1
69,TTR26504991072022001,328.6359891,-1.73863,,0,ACCIDENT,1,FRC6,0.4,0,0,-1
70,TTR25246924648038002,680.214961,-4.66846,,0,CLOSURE,1,FRC6,0.4,0,0,-1
71,TTR23870559604028000,1120.257947,-8.33548,,0,ROADWORKS,0.6,FRC4,0.6,0,0,-1
73,TTR22064335144029000,1493.940126,-11.4495,,0,CLOSURE,1,FRC5,0.5,0,0,-1
