,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
3712,TTL37770204468010003,462.32670536130627,-2.85272,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,534,0.3,-100.0
3713,TTR37900072600012003,14.060061278818477,0.88283,1.0,0.5,ROADWORKS,0.6,FRC4,0.6,16,0.1,0.61380622761
3714,TTR38327094200012001,410.8719046715785,-2.42393,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3715,TTL37842363892011000,4.8357161857981925,0.9597,1.0,0.5,JAM_UNCONDITIONAL,0.9,FRC3,0.7,105,0.1,0.6932847199000001
3716,TTR39100406864012001,163.83638106474075,-0.3653,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3717,TTL37418183168010030,454.77436189090446,-2.78979,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,147,0.1,-100.0
3718,TTR39140803200014001,167.1913681897777,-0.39326,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3719,TTL40597917508014000,602.3136053849063,-4.01928,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC6,0.4,141,0.1,-100.0
3720,TTL38482903928049000,471.98604232598706,-2.93322,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,244,0.1,-100.0
3721,TTL39123490404010003,165.68983288598906,-0.38075,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,150,0.1,-100.0
3722,TTR39175400224022000,586.8545020247841,-3.89045,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3723,TTR37825051256015001,3.712104560691969,0.96907,1.0,1.0,CLOSURE,1,FRC7,0.3,,1,0.87818008969
3724,TTL41027855940014000,500.3417526560388,-3.16951,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC6,0.4,235,0.1,-100.0
3725,TTR37262380636036000,263.1172683766396,-1.19264,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3726,TTL37804853048010000,7.148557430634288,0.94043,1.0,0.5,JAM_UNCONDITIONAL,0.9,FRC2,0.8,212,0.1,0.7067397468100001
3727,TTL38592568464010010_2,147.8969774253899,-0.23247,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC2,0.8,296,0.1,-100.0
3728,TTL40185305648065000,516.8918414567627,-3.30743,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,178,0.1,-100.0
3729,TTR38073173312022000,476.73266674358865,-2.97277,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3730,TTR38921491640073000,425.19455963955204,-2.54329,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-100.0
3731,TTR39738062568033000,530.9439348286708,-3.42453,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-100.0
3732,TTR38736823620020000,435.3085404811267,-2.62757,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3733,TTR37764432912016000,474.09054703835915,-2.95075,-100.0,0.0,ROADWORKS,0.6,FRC0,1,-100,0,-100.0
3734,TTR38630079140012000,149.9571489276411,-0.24964,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3735,TTL38777218632012000_2,453.134664705437,-2.77612,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC3,0.7,397,0.2,-100.0
3736,TTR39025389640027000,153.4448336965249,-0.27871,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
3737,TTL37083484500017001,267.9014695228422,-1.23251,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,309,0.2,-100.0
3738,TTL36070703940011000,278.3552040395072,-1.31963,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,185,0.1,-100.0
3739,TTR41085564536023001,505.73809036269324,-3.21448,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
3740,TTL37144071188011001,398.59113972002325,-2.32159,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,162,0.1,-100.0
3741,TTR37461476068040000,236.75859315236895,-0.97299,-100.0,0.0,ROADWORKS,0.6,FRC0,1,12,0.1,-100.0
3742,TTL38739714252001000,340.73189869506285,-1.83943,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,181,0.1,-100.0
3743,TTR39146574480063001,166.2147757250949,-0.38512,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
3744,TTR39244661860020000,391.50587714093103,-2.26255,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3745,TTR36463121028007001,252.35268992620334,-1.10294,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
3746,TTL41071137628012015,502.3786428069567,-3.18649,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,118,0.1,-100.0
3747,TTR39893879328066002,478.3123076502786,-2.98594,-100.0,0.0,ROADWORKS,0.6,FRC2,0.8,-100,0,-100.0
3748,TTL37911614272019003,14.228294581050612,0.88143,1.0,0.5,JAM_UNCONDITIONAL,0.9,FRC3,0.7,458,0.3,0.71357309381
3749,TTL36258257036068000,254.62038407526526,-1.12184,-100.0,0.0,NONLOS_DELAY,0.8,FRC3,0.7,90,0.1,-100.0
3750,TTR36203433380057001,268.47498120882307,-1.23729,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,27,0.1,-100.0
3751,TTR36116883772057000,218.74128510854777,-0.82284,-100.0,0.0,CLOSURE,1,FRC1,0.9,,1,-100.0
3752,TTL35857182220011001,302.65010562603004,-1.52208,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,165,0.1,-100.0
3753,TTR39391834372009001,199.92862984609346,-0.66607,-100.0,0.0,TRAFFIC_RESTRICTION,0.6,FRC1,0.9,-100,0,-100.0
3754,TTR38837814100004000,426.3262299478534,-2.55272,-100.0,0.0,ROADWORKS,0.6,FRC4,0.6,2,0.1,-100.0
3755,TTW41622254076008019,553.9517009902822,-3.61626,-100.0,0.0,JAM_TAIL_WARNING,0.9,FRC0,1,-100,0,-100.0
3756,TTR40395954872011000,366.9493086934482,-2.05791,-100.0,0.0,ROADWORKS,0.6,FRC3,0.7,-100,0,-100.0
3757,TTL37770227880008000,6.205406461453516,0.94829,1.0,0.5,JAM_UNCONDITIONAL,0.9,FRC0,1,62,0.1,0.74138314943
3758,TTR38188601488012001,265.04831945636204,-1.20874,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3759,TTR39140803088030000,167.66301841831424,-0.39719,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3760,TTL38430983768019000,153.39392076800127,-0.27828,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,143,0.1,-100.0
3761,TTL37201787512010003_3,251.07538442072993,-1.09229,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC2,0.8,192,0.1,-100.0
3762,TTR41460665344089001,589.484886981746,-3.91237,-100.0,0.0,TRAFFIC_RESTRICTION,0.6,FRC1,0.9,-100,0,-100.0
3763,TTL39902542328041000,377.0524771701696,-2.1421,-100.0,0.0,NONLOS_DELAY,0.8,FRC1,0.9,68,0.1,-100.0
3764,TTL40222814904012004,540.0259208264248,-3.50022,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,187,0.1,-100.0
3765,TTR35689820800650001,415.9236570863461,-2.46603,-100.0,0.0,CLOSURE,1,FRC2,0.8,,1,-100.0
3766,TTL36093790620013000,237.40820224339944,-0.9784,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC5,0.5,148,0.1,-100.0
3767,TTR37614390760000000,481.7062484696412,-3.01422,-100.0,0.0,ROADWORKS,0.6,FRC0,1,-100,0,-100.0
3768,TTL37291231016091000_1,332.66332333658676,-1.77219,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC3,0.7,386,0.2,-100.0
3769,TTR39815972360012000,479.784122714853,-2.9982,-100.0,0.0,ROADWORKS,0.6,FRC4,0.6,66,0.1,-100.0
3770,TTL37813509160019017_3,10.179777363294876,0.91517,1.0,0.5,JAM_CONDITIONAL,0.9,FRC3,0.7,228,0.1,0.6858630383900002
3771,TTR38246296668116000,515.726887303688,-3.29772,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3772,TTR37141193288036002,258.49188806416754,-1.1541,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3773,TTL37807738760018015,0.5915420259224621,0.99507,1.0,1.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,175,0.1,0.7991799316900001
3774,TTR40289180020014000,538.7999855082093,-3.49,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3775,TTR38788763272585000,398.5414683409379,-2.32118,-100.0,0.0,CLOSURE,1,FRC1,0.9,,1,-100.0
3776,TTR39111937268027001,303.6997709044811,-1.53083,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
3777,TTL41099991776012001,504.9092064990086,-3.20758,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC4,0.6,226,0.1,-100.0
3778,TTR38139547688089000,293.5178889211725,-1.44598,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,766,0.5,-100.0
3779,TTL37851018752010000,27.688162333042005,0.76927,0.0,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,156,0.1,0.4282125230900001
3780,TTR40147794100030000,532.2379604071375,-3.43532,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3781,TTR37475893392021000,424.3433988427207,-2.53619,-100.0,0.0,CLOSURE,1,FRC5,0.5,,1,-100.0
3782,TTR39463948328196000,498.1494114793969,-3.15125,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
3783,TTR40127595296013000,543.1760518572737,-3.52647,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3784,TTL37784630712008000,481.35209882667584,-3.01127,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC0,1,44,0.1,-100.0
3785,TTR38024124392009000,412.8856807986551,-2.44071,-100.0,0.0,CLOSURE,1,FRC1,0.9,,1,-100.0
3786,TTR39238886876013000,463.5629772101977,-2.86302,-100.0,0.0,CLOSURE,1,FRC5,0.5,,1,-100.0
3787,TTR36191892564014000,254.3605040542926,-1.11967,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3788,TTR36171688336177000,349.63947343000825,-1.91366,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-100.0
3789,TTR38024124392009001,412.90600444359166,-2.44088,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,5,0.1,-100.0
3790,TTR39158089000015000,563.9126590890091,-3.69927,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
3791,TTR37810624420018001,3.2004382261950504,0.97333,1.0,1.0,ROADWORKS,0.6,FRC2,0.8,-100,0,0.7288897911100001
3792,TTR40419027992009000,489.94631112944614,-3.08289,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-100.0
3793,TTR38084726068009000,263.46229041152554,-1.19552,-100.0,0.0,CLOSURE,1,FRC1,0.9,,1,-100.0
3794,TTL36264027816009024_2,253.50596789015236,-1.11255,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC1,0.9,230,0.1,-100.0
3795,TTR39492803068083000,494.21557669660467,-3.11846,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
3796,TTL36154382088012002_3,259.90516564712294,-1.16588,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC4,0.6,214,0.1,-100.0
3797,TTL40514240284001000,596.0509806781719,-3.96709,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,148,0.1,-100.0
3798,TTR39443752724019000,459.13453913190176,-2.82612,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
3799,TTR39383153584020000,544.3507873858168,-3.53626,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3800,TTL37813482356027001,528.3620856236394,-3.40302,-100.0,0.0,NONLOS_DELAY,0.8,FRC3,0.7,69,0.1,-100.0
3801,TTR37086357172007000,505.5937420307671,-3.21328,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
3802,TTL37833707676009003,5.9706428573105335,0.95024,1.0,0.5,JAM_UNCONDITIONAL,0.9,FRC1,0.9,2643,1.0,0.8750417500800001
3803,TTR39132141452031001,213.58412729927394,-0.77987,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
3804,TTR37810624076005002,1.3722310437013359,0.98856,1.0,1.0,ROADWORKS,0.6,FRC5,0.5,-100,0,0.68142802952
3805,TTL35813902492042001_2,285.0879388375251,-1.37573,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC1,0.9,198,0.1,-100.0
3806,TTR38996510988034003,457.1204270804426,-2.80934,-100.0,0.0,ACCIDENT,1,FRC2,0.8,-100,0,-100.0
3807,TTR38996510988034001,457.1204270804426,-2.80934,-100.0,0.0,CLOSURE,1,FRC2,0.8,,1,-100.0
3808,TTR40015065472014000,509.93244645976455,-3.24944,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
3809,TTL37504747248011000_3,431.11236890013026,-2.5926,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC3,0.7,315,0.2,-100.0
3810,TTR39097521656023001,162.38259238361445,-0.35319,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
3811,TTR36209212288044000,192.95860708082154,-0.60799,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
3812,TTR39357212624007001,189.84901202170525,-0.58208,-100.0,0.0,TRAFFIC_RESTRICTION,0.6,FRC7,0.3,-100,0,-100.0
3813,TTR37343176700163000,183.47150260266204,-0.52893,-100.0,0.0,HAZARD,1,FRC3,0.7,-100,0,-100.0
3814,TTR37236412880002001,244.328424870578,-1.03607,-100.0,0.0,ROADWORKS,0.6,FRC2,0.8,3,0.1,-100.0
3815,TTL37201787512010003,250.95132778280492,-1.09126,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,229,0.1,-100.0
3816,TTR39117719920001000,164.24613560183676,-0.36872,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,1,0.1,-100.0
