,incident_key,filter_out,distance,distance_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
5593,TTR37911614140100000,False,13.24472905767508,0.88963,0.5,CLOSURE,1,FRC4,0.6,,1,0.797926
527,TTR37917385100028000,False,13.913462022941427,0.88405,0.5,CLOSURE,1,FRC4,0.6,,1,0.79681
8363,TTL37796197152017006_3,False,1.9606011234657323,0.98366,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,379,0.2,0.7967320000000002
7332,TTR37917385172028000,False,14.35548076236809,0.88037,0.5,CLOSURE,1,FRC4,0.6,,1,0.7960740000000001
692,TTL37793311796009001,False,3.012792253303726,0.97489,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,300,0.2,0.7949780000000002
4049,TTL37822165860009023_2,False,3.167050265102574,0.97361,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,315,0.2,0.7947220000000002
5740,TTL37822165860009023,False,3.167050265102574,0.97361,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,359,0.2,0.7947220000000002
1756,TTL37822165788009026,False,3.2209755472736474,0.97316,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,386,0.2,0.7946320000000002
884,TTL37830822304001005,False,3.327471659182496,0.97227,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,324,0.2,0.7944540000000002
7830,TTL37778884600018008_2,False,3.5267176272159686,0.97061,1.0,JAM_CONDITIONAL,0.9,FRC2,0.8,506,0.3,0.794122
345,TTL37778884600018008,False,3.5267176272159686,0.97061,1.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,472,0.3,0.794122
8202,TTL37819280444017031_1,False,3.607804916765936,0.96993,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,325,0.2,0.7939860000000001
5094,TTL37761572148009005,False,4.197503340877414,0.96502,0.5,JAM_UNCONDITIONAL,0.9,FRC1,0.9,1050,0.7,0.793004
551,TTR37686550480124000,False,16.385481054960415,0.86345,0.5,CLOSURE,1,FRC4,0.6,,1,0.79269
2658,TTR37706749376020000,False,16.520738464806897,0.86233,0.5,CLOSURE,1,FRC4,0.6,,1,0.792466
7931,TTR37706749448020000,False,16.60605607343089,0.86162,0.5,CLOSURE,1,FRC4,0.6,,1,0.792324
8123,TTL37839478480012018_2,False,4.838170801657911,0.95968,0.5,JAM_CONDITIONAL,0.9,FRC1,0.9,920,0.7,0.7919360000000001
5468,TTR37799082628013000,False,5.297527017697367,0.95585,0.5,CLOSURE,1,FRC5,0.5,,1,0.79117
6399,TTR37807739116013001,False,5.402339755120714,0.95498,0.5,CLOSURE,1,FRC5,0.5,,1,0.7909959999999999
6424,TTR37937582532028000,False,17.560732962285584,0.85366,0.5,CLOSURE,1,FRC4,0.6,,1,0.790732
6198,TTR37937582604020000,False,17.573824389616597,0.85355,0.5,CLOSURE,1,FRC4,0.6,,1,0.79071
7883,TTR37767342492045000,False,6.042187168338906,0.94965,0.5,CLOSURE,1,FRC5,0.5,,1,0.7899299999999999
6043,TTR37767342420045000,False,6.539973275591461,0.9455,0.5,CLOSURE,1,FRC5,0.5,,1,0.7891
3533,TTR37799082220013001,False,6.599992229168273,0.945,0.5,CLOSURE,1,FRC5,0.5,,1,0.789
2276,TTR37649040348060000,False,18.642644318465308,0.84464,0.5,CLOSURE,1,FRC4,0.6,,1,0.788928
7547,TTR37649040564060000,False,19.169550339094446,0.84025,0.5,CLOSURE,1,FRC4,0.6,,1,0.78805
3453,TTR37813509328021000,False,7.692598307183275,0.9359,0.5,CLOSURE,1,FRC5,0.5,,1,0.7871800000000001
4252,TTR37813509256029000,False,7.884533100270873,0.9343,0.5,CLOSURE,1,FRC5,0.5,,1,0.78686
4810,TTR37801967400013002,False,8.216651310611802,0.93153,0.5,CLOSURE,1,FRC5,0.5,,1,0.7863060000000001
506,TTR37801967328013002,False,8.263236362548092,0.93114,0.5,CLOSURE,1,FRC5,0.5,,1,0.786228
1235,TTR37839478132005000,False,8.576737543498757,0.92853,0.5,CLOSURE,1,FRC5,0.5,,1,0.7857059999999999
7350,TTR37839478068029000,False,8.610052286093076,0.92825,0.5,CLOSURE,1,FRC5,0.5,,1,0.7856500000000001
4916,TTR37839478060029000,False,8.833621299132602,0.92639,0.5,CLOSURE,1,FRC5,0.5,,1,0.785278
6383,TTR37836592692021002,False,8.91162238726415,0.92574,0.5,CLOSURE,1,FRC5,0.5,,1,0.7851480000000001
2951,TTR37732717988053000,False,10.425113528854869,0.91312,0.5,CLOSURE,1,FRC5,0.5,,1,0.7826240000000001
3193,TTR37735603388069000,False,10.471508356303614,0.91274,0.5,CLOSURE,1,FRC5,0.5,,1,0.7825479999999999
5921,TTR37842363312045000,False,10.503738500176672,0.91247,0.5,CLOSURE,1,FRC5,0.5,,1,0.7824939999999999
